Ticker,Company Name,Industry,Market Price,Market Cap,Market Currency,EBIT/Market Cap,ROIC,D/P,Total Debt/Common Equity,Combined_rank
300875.SZ,TIANJIN JIEQIANG P,Specialty Industrial Machinery,24.82,2477899776.0,CNY,-0.01363411223376291,-0.026625208115716087,0.0,0.012505142423730598,8932.0
300499.SZ,GUANGZHOU GOALAND,Specialty Industrial Machinery,18.63,5686788608.0,CNY,-0.008321174844345473,-0.03375503959022853,0.0,0.015340071628226381,8940.0
600744.SS,DATANG HUAYIN ELECTRIC POWER CO,Utilities - Regulated Electric,3.5,7230789632.0,CNY,0.046468112167586666,0.018913244556396886,0.0,11.243354813127263,8941.0
300632.SZ,XIAMEN GUANGPU ELE,"Furnishings, Fixtures & Appliances",11.26,3436349696.0,CNY,0.007835314272974394,0.013385380228306768,0.0,0.18080377461491312,8942.0
002638.SZ,DONGGUAN KINGSUN O,Electrical Equipment & Parts,1.93,2772618496.0,CNY,-0.02350666981195815,-0.029115967174255054,0.0,0.006776944342519415,8945.0
000069.SZ,SHENZHEN OVERSEAS,Lodging,2.44,19612135424.0,CNY,0.049453311284151,0.0066298930006481295,0.0,2.510653921814112,8950.0
300417.SZ,NANHUA INSTRUMENTS,Scientific & Technical Instruments,11.08,1490958080.0,CNY,-0.007111296750878465,-0.02279369636073856,0.0,0.02519897104617344,8950.0
002121.SZ,SHENZHEN CLOU ELEC,Electrical Equipment & Parts,4.53,7523514880.0,CNY,0.02335300711068704,0.05143471950665665,0.0,6.683901563166628,8955.0
605008.SS,NINGBO CHANGHONG POLYMER SCIENT,Specialty Chemicals,16.15,10572630016.0,CNY,0.01823035596425055,0.04871654024625924,0.0,1.1937103142642271,8974.0
300462.SZ,SHANGHAI HUAMING I,Specialty Industrial Machinery,8.55,1549448192.0,CNY,0.008397091046462038,0.007668442205715225,0.0,0.16837409710575538,8977.0
600439.SS,HENAN REBECCA HAIR PRODUCTS CO,Household & Personal Products,3.36,3916684800.0,CNY,0.02686435046036895,0.022230585427993173,0.0029761904761904765,0.8623629129870392,8982.0
300120.SZ,TIANJIN JINGWEI HU,Electrical Equipment & Parts,7.89,4531968512.0,CNY,0.01806931549572077,0.021938622259932525,0.0,0.3807706562785878,8985.0
600716.SS,JIANGSU PHOENIX INVESTMENT PROP,Real Estate Services,3.36,3173244416.0,CNY,0.005253144332642559,0.003097920121143549,0.0,0.1201492813606371,8985.0
002298.SZ,ANHUI ZHONGDIANXIN,Electrical Equipment & Parts,4.52,3345301504.0,CNY,0.016211495862227636,0.012119695990323172,0.0,0.2886189148553485,8986.0
600620.SS,SHANGHAI TIANCHEN CO LTD,Real Estate - Diversified,4.79,3337250560.0,CNY,0.009597078623308393,0.016554436561857556,0.0020876826722338207,0.2548184584539119,8988.0
002663.SZ,PUBANG LANDSCAPE A,Engineering & Construction,1.66,2860761088.0,CNY,0.0021143383120569,0.0022730856436989876,0.0,0.10130814532801771,8994.0
002186.SZ,CHINA QUANJUDE GP,Restaurants,10.82,3320895744.0,CNY,0.005164139871293715,0.020445058822632128,0.0,0.19464145171967137,8996.0
600187.SS,HEILONGJIANG INTERCHINA WATER C,Utilities - Regulated Water,3.81,6826300928.0,CNY,-0.005878651743200739,-0.012256179107826372,0.0,0.0446813626535996,8996.0
300790.SZ,DONGGUAN YUTONG OP,Consumer Electronics,21.22,7938805248.0,CNY,0.017289889093145314,0.03752170304162488,0.004712535344015081,1.0406201914138424,9001.0
300981.SZ,ZHONGHONG PULIN ME,Medical Instruments & Supplies,11.84,4617694720.0,CNY,0.007833327076242937,0.005838093519395893,0.0,0.1605709199725909,9003.0
301155.SZ,JIANGSU HAILI WIND,Specialty Industrial Machinery,61.96,13469546496.0,CNY,0.004216682677985238,0.009981747846441229,0.0,0.13887037150658085,9003.0
300798.SZ,JIANGSU JINJI INDU,Specialty Chemicals,6.62,3103595008.0,CNY,0.012054792456348737,0.017582502562759023,0.0,0.2661706710931648,9006.0
002297.SZ,HUNAN BOYUN NEW MA,Chemicals,6.86,3931500544.0,CNY,0.006506176886847194,0.010784612084372262,0.0,0.17074009860870537,9011.0
300691.SZ,UNION OPTECH CO LT,Electronic Components,16.8,4520023040.0,CNY,0.014816909088144807,0.030714716833838227,0.0,0.42612672728556583,9012.0
600135.SS,LUCKY FILM CO,Chemicals,6.96,3851016704.0,CNY,-0.01583130931285619,-0.024438140887843917,0.0,0.015568481076923562,9016.0
300126.SZ,KEN HOLDING CO LTD,Tools & Accessories,6.38,1939252224.0,CNY,-0.019738250360774104,-0.03614524046000494,0.0,0.008943223425434757,9018.0
300578.SZ,BIZCONF TELECOM CO,Software - Infrastructure,17.4,3449897984.0,CNY,-0.004998131599824149,-0.014488646920572393,0.0,0.0456347850584482,9019.0
300586.SZ,MALION NEW MATERIA,Specialty Chemicals,8.1,5760858112.0,CNY,0.013392541873109062,0.03008076622741119,0.0,0.39614883603307244,9025.0
600226.SS,ZHEJIANG HENGTONG HOLDING CO LT,Conglomerates,2.91,8655446016.0,CNY,0.004690756318616961,0.010878542848694956,0.0,0.15490554919924762,9026.0
301079.SZ,SHAOYANG VICTOR HY,Specialty Industrial Machinery,24.04,2628485632.0,CNY,0.008718394364044223,0.03655838344676745,0.0008319467554076539,0.38453549735940956,9028.0
301248.SZ,NEXWISE INTELLIGEN,Software - Application,20.67,3177082112.0,CNY,-0.017176471081399643,-0.036950077670179486,0.0,0.011630947321993887,9032.0
600748.SS,SHANGHAI INDUSTRIAL DEVELOPMENT,Real Estate - Development,3.25,6123942912.0,CNY,0.039949605985157816,0.010582676025957239,0.0,1.285970321518087,9032.0
600331.SS,SICHUAN HONGDA CHEMICAL INDUSTR,Other Industrial Metals & Mining,6.55,13309600768.0,CNY,0.005868959974201981,0.07297834551653792,0.0,1.7458704523428767,9036.0
600538.SS,BEIHAI GOFAR CHUANSHAN BIOLOGIC,Agricultural Inputs,5.08,2662925824.0,CNY,-0.003833341776928155,-0.013148730127087423,0.0,0.05364797797586241,9039.0
603818.SS,QUMEI HOME FURNISHINGS GROUP CO,"Furnishings, Fixtures & Appliances",2.77,1957074176.0,CNY,0.030208921968831872,0.011927910682322941,0.007220216606498195,1.8403602887079744,9043.0
